order_id,customer_name,age,country,city,category,product_price,quantity,discount_percent,payment_method,order_status,order_date,rating,total_amount
ORD0001,Customer_1,56.0,India,Sydney,Books,2655.52,5,20.0,Cash,Delivered,2023-01-01,5,10622.08
ORD0002,Customer_2,46.0,UK,London,Toys,6601.69,8,10.0,Net Banking,Cancelled,2023-01-01,,47532.17
ORD0003,Customer_3,32.0,France,Toronto,Sports,3319.38,8,10.0,UPI,Delivered,2023-01-02,4,23899.54
ORD0004,Customer_4,60.0,UK,London,Books,7757.38,1,0.0,UPI,Delivered,2023-01-02,3,7757.38
ORD0005,Customer_5,25.0,India,Tokyo,Sports,1395.65,5,20.0,Net Banking,Delivered,2023-01-03,,5582.6
ORD0006,Customer_6,38.0,India,Dubai,Sports,9701.23,3,10.0,Cash,Cancelled,2023-01-03,4,26193.32
ORD0007,Customer_7,56.0,Japan,Berlin,Electronics,4592.52,1,25.0,Debit Card,Delivered,2023-01-04,4,3444.39
ORD0008,Customer_8,36.0,UAE,Mumbai,Clothing,2436.9,4,10.0,Credit Card,Delivered,2023-01-04,3,8772.84
ORD0009,Customer_9,40.0,USA,Berlin,Toys,827.62,8,10.0,Cash,Delivered,2023-01-05,2,5958.86
ORD0010,Customer_10,28.0,UK,Toronto,Sports,1780.6,3,20.0,Net Banking,Delivered,2023-01-05,3,4273.44
ORD0011,Customer_11,28.0,USA,Berlin,Toys,5245.76,2,25.0,Credit Card,Pending,2023-01-06,4,7868.64
ORD0012,Customer_12,41.0,UK,Sydney,Beauty,3436.33,9,20.0,UPI,Delivered,2023-01-06,5,24741.58
ORD0013,Customer_13,53.0,Canada,São Paulo,Sports,8305.95,5,0.0,Debit Card,Delivered,2023-01-07,2,41529.75
ORD0014,Customer_14,57.0,India,Mumbai,Food,4365.79,7,15.0,UPI,Delivered,2023-01-07,3,25976.45
ORD0015,Customer_15,41.0,UAE,Paris,Clothing,2562.27,2,10.0,Net Banking,Pending,2023-01-08,5,4612.09
ORD0016,Customer_16,20.0,Japan,Toronto,Food,6209.74,9,15.0,Credit Card,Delivered,2023-01-08,3,47504.51
ORD0017,Customer_17,39.0,UAE,Mumbai,Toys,7097.09,9,20.0,Net Banking,Delivered,2023-01-09,4,51099.05
ORD0018,Customer_18,19.0,UAE,Berlin,Toys,1753.71,4,20.0,Credit Card,Cancelled,2023-01-09,5,5611.87
ORD0019,Customer_19,41.0,UAE,Sydney,Clothing,1759.43,4,20.0,Cash,Cancelled,2023-01-10,3,5630.18
ORD0020,Customer_20,61.0,USA,New York,Toys,463.05,6,15.0,Debit Card,Delivered,2023-01-10,2,2361.56
ORD0021,Customer_21,47.0,UK,Dubai,Food,7390.38,6,20.0,Cash,Delivered,2023-01-11,4,35473.82
ORD0022,Customer_22,55.0,Brazil,Paris,Sports,6671.66,1,0.0,Cash,Delivered,2023-01-11,4,6671.66
ORD0023,Customer_23,19.0,Canada,Dubai,Sports,4798.85,9,20.0,Net Banking,Delivered,2023-01-12,4,34551.72
ORD0024,Customer_24,38.0,Germany,Mumbai,Electronics,8457.29,2,5.0,Debit Card,Delivered,2023-01-12,5,16068.85
ORD0025,Customer_25,,UAE,Sydney,Beauty,8076.13,5,15.0,Credit Card,Delivered,2023-01-13,3,34323.55
ORD0026,Customer_26,29.0,France,Sydney,Toys,5895.01,9,5.0,Credit Card,Delivered,2023-01-13,4,50402.34
ORD0027,Customer_27,39.0,USA,Berlin,Food,8695.89,4,20.0,UPI,Delivered,2023-01-14,4,27826.85
ORD0028,Customer_28,61.0,Japan,Tokyo,Toys,2137.83,3,0.0,Credit Card,Cancelled,2023-01-14,3,6413.49
ORD0029,Customer_29,42.0,Germany,Berlin,Toys,1208.0,7,10.0,Net Banking,Pending,2023-01-15,4,7610.4
ORD0030,Customer_30,44.0,Brazil,Tokyo,Books,2770.52,6,25.0,Cash,Delivered,2023-01-15,3,12467.34
ORD0031,Customer_31,59.0,France,Tokyo,Electronics,665.16,8,25.0,Cash,Delivered,2023-01-16,4,3990.96
ORD0032,Customer_32,45.0,Brazil,Paris,Food,5358.58,3,20.0,Cash,Delivered,2023-01-16,2,12860.59
ORD0033,Customer_33,33.0,Germany,Berlin,Food,9372.4,5,0.0,Debit Card,Pending,2023-01-17,4,46862.0
ORD0034,Customer_34,32.0,UAE,New York,Toys,489.5,4,15.0,Credit Card,Delivered,2023-01-17,4,1664.3
ORD0035,Customer_35,64.0,France,London,Electronics,1308.89,4,5.0,Net Banking,Delivered,2023-01-18,5,4973.78
ORD0036,Customer_36,61.0,Brazil,London,Sports,4576.77,4,5.0,Debit Card,Delivered,2023-01-18,2,17391.73
ORD0037,Customer_37,20.0,Japan,Berlin,Food,9345.36,8,5.0,UPI,Delivered,2023-01-19,4,71024.74
ORD0038,Customer_38,54.0,UK,Berlin,Sports,3229.95,6,15.0,Net Banking,Delivered,2023-01-19,4,16472.74
ORD0039,Customer_39,24.0,India,Dubai,Electronics,5121.62,3,25.0,Net Banking,Delivered,2023-01-20,5,11523.64
ORD0040,Customer_40,,UK,Paris,Sports,511.57,5,0.0,Net Banking,Delivered,2023-01-20,4,2557.85
ORD0041,Customer_41,26.0,Germany,Berlin,Clothing,1568.6,6,15.0,Cash,Pending,2023-01-21,5,7999.86
ORD0042,Customer_42,56.0,USA,Dubai,Books,9867.64,5,5.0,Net Banking,Delivered,2023-01-21,5,46871.29
ORD0043,Customer_43,35.0,India,Tokyo,Home,9654.68,6,20.0,Credit Card,Cancelled,2023-01-22,5,46342.46
ORD0044,Customer_44,21.0,Canada,Sydney,Food,148.91,8,10.0,Net Banking,Cancelled,2023-01-22,4,1072.15
ORD0045,Customer_45,42.0,Japan,Sydney,Beauty,9522.94,7,,Cash,Delivered,2023-01-23,4,66660.58
ORD0046,Customer_46,31.0,Canada,Tokyo,Books,6427.29,5,15.0,Net Banking,Delivered,2023-01-23,5,27315.98
ORD0047,Customer_47,26.0,France,Toronto,Home,8692.39,6,0.0,UPI,Delivered,2023-01-24,,52154.34
