order_id,customer_name,age,country,city,category,product_price,quantity,discount_percent,payment_method,order_status,order_date,rating,total_amount,final_revenue,discount_amount,order_month,order_year,order_quarter,age_group,is_high_value,revenue_rank,category_upper,order_number
ORD0001,Customer_1,56,India,Sydney,Books,2655.52,5,20.0,Cash,Delivered,2023-01-01,5,10622.08,10622.08,2655.52,January,2023,1,46-65,False,37,BOOKS,1
ORD0002,Customer_2,46,UK,London,Toys,6601.69,8,10.0,Net Banking,Cancelled,2023-01-01,4,47532.17,47532.17,5281.35,January,2023,1,46-65,True,11,TOYS,2
ORD0003,Customer_3,32,France,Toronto,Sports,3319.38,8,10.0,UPI,Delivered,2023-01-02,4,23899.54,23899.54,2655.5,January,2023,1,26-35,True,28,SPORTS,3
ORD0004,Customer_4,60,UK,London,Books,7757.38,1,0.0,UPI,Delivered,2023-01-02,3,7757.38,7757.38,0.0,January,2023,1,46-65,False,48,BOOKS,4
ORD0005,Customer_5,25,India,Tokyo,Sports,1395.65,5,20.0,Net Banking,Delivered,2023-01-03,4,5582.6,5582.6,1395.65,January,2023,1,18-25,False,55,SPORTS,5
ORD0006,Customer_6,38,India,Dubai,Sports,9701.23,3,10.0,Cash,Cancelled,2023-01-03,4,26193.32,26193.32,2910.37,January,2023,1,36-45,True,25,SPORTS,6
ORD0007,Customer_7,56,Japan,Berlin,Electronics,4592.52,1,25.0,Debit Card,Delivered,2023-01-04,4,3444.39,3444.39,1148.13,January,2023,1,46-65,False,51,ELECTRONICS,7
ORD0008,Customer_8,36,UAE,Mumbai,Clothing,2436.9,4,10.0,Credit Card,Delivered,2023-01-04,3,8772.84,8772.84,974.76,January,2023,1,36-45,False,45,CLOTHING,8
ORD0009,Customer_9,40,USA,Berlin,Toys,827.62,8,10.0,Cash,Delivered,2023-01-05,2,5958.86,5958.86,662.1,January,2023,1,36-45,False,54,TOYS,9
ORD0010,Customer_10,28,UK,Toronto,Sports,1780.6,3,20.0,Net Banking,Delivered,2023-01-05,3,4273.44,4273.44,1068.36,January,2023,1,26-35,False,59,SPORTS,10
ORD0011,Customer_11,28,USA,Berlin,Toys,5245.76,2,25.0,Credit Card,Pending,2023-01-06,4,7868.64,7868.64,2622.88,January,2023,1,26-35,False,45,TOYS,11
